Rank;School;Conference;Record;Road;Neutral;Home;Non Div-I;;;;
87;Wagner;NEC;9-8;4-4;0-0;5-4;0-0;;;;
88;Butler;Big East;5-10;2-6;0-0;3-4;0-0;;;;
89;Stetson;ASUN;8-9;3-5;0-0;5-4;0-0;;;;
90;Elon;CAA;4-12;3-5;0-0;1-7;0-0;;;;
91;Marist;MAAC;4-12;1-7;0-0;3-5;0-0;;;;
92;Wofford;Big South;7-10;4-5;0-0;3-5;0-0;;;;
93;Old Dominion;AAC;4-13;2-6;0-0;2-7;0-0;;;;
94;Saint Francis (PA);NEC;10-6;4-4;0-0;6-2;0-0;;;;
95;George Washington;Atlantic 10;6-12;3-5;0-1;3-6;0-0;;;;
96;Lindenwood;ASUN;8-10;5-5;0-1;3-4;0-0;;;;
97;Kent St.;MAC;10-8;6-2;0-1;4-5;0-0;;;;
98;Manhattan;MAAC;6-11;4-5;0-0;2-6;0-0;;;;
99;Mount St. Mary's;MAAC;4-13;1-8;0-0;3-5;0-0;;;;
100;Oregon;Pac-12;5-12;1-6;0-1;4-5;0-0;;;;
101;Xavier;Big East;4-10;3-6;0-0;1-4;0-0;;;;
102;LIU;NEC;7-10;4-6;0-0;3-4;0-0;;;;
103;Presbyterian;Big South;6-11;5-5;0-0;1-6;0-0;;;;
104;Lafayette;Patriot;2-15;0-8;0-0;2-7;0-0;;;;
105;St. Bonaventure;Atlantic 10;6-12;3-6;0-1;3-5;0-0;;;;
106;California;Pac-12;5-13;3-5;0-2;2-6;0-0;;;;
107;Gardner-Webb;Big South;4-13;2-7;0-0;2-6;0-0;;;;
108;Columbia;Ivy League;3-12;2-5;0-0;1-7;0-0;;;;
109;Youngstown St.;MAC;6-12;1-8;0-0;5-4;0-0;;;;
110;Winthrop;Big South;4-12;0-8;0-0;4-4;0-0;;;;
111;Stonehill;NEC;5-10;3-6;0-0;2-4;0-0;;;;
112;Kennesaw St.;ASUN;3-13;1-6;0-1;2-6;1-0;;;;
113;Longwood;Big South;4-12;2-7;0-0;2-5;0-0;;;;
114;Radford;Big South;5-12;0-7;0-0;5-5;0-0;;;;
115;Duquesne;Atlantic 10;2-14;2-6;0-0;0-8;0-0;;;;
116;La Salle;Atlantic 10;0-15;0-9;0-0;0-6;0-0;;;;
117;George Mason;Atlantic 10;2-13;0-7;0-0;2-6;0-0;;;;
118;Merrimack;NEC;4-13;1-8;0-0;3-5;0-0;;;;
119;Central Conn. St.;NEC;4-11;3-5;0-0;1-6;0-0;;;;
120;Detroit Mercy;MAC;3-11;2-5;0-0;1-6;0-0;;;;
121;Eastern Mich.;MAC;2-14;0-8;0-0;2-6;0-0;;;;
122;Delaware St.;ASUN;2-14;0-7;1-0;1-7;0-0;;;;
123;Hartford;DI Independent;1-2;1-1;0-0;0-1;5-3;;;;
124;FDU;NEC;1-12;0-6;0-0;1-6;0-0;;;;
125;Akron;MAC;2-15;2-7;0-0;0-8;0-0;;;;
126;Howard;NEC;0-15;0-8;0-1;0-6;0-0;;;;
